id,name,date,rev,lat,lng
28,"YELLOW ROSE DISTILLING LLC",2016-02-01,9431,29.788519,-95.455744
38,"WHITMEYER'S DISTILLING",2016-02-01,1448,29.971951,-95.522538
66,"EL FENIX RESTAURANT",2016-02-01,71244,32.787588,-96.804964
67,"EL FENIX - NORTHWEST-HILLCREST",2016-02-01,22741,32.8661267,-96.7883214
68,"EGYPTIAN RESTAURANT",2016-02-01,48867,32.836281,-96.771679
69,"DUNSTON'S STEAK HOUSE",2016-02-01,17227,32.8376441,-96.8642802
72,"EL FENIX RESTAURANT",2016-02-01,11589,32.8294891,-96.8252505
77,"DUNSTONS STEAK HOUSE",2016-02-01,35317,32.851719,-96.819708
81,"COPPERFIELD BOWL",2016-02-01,33848,29.8824654,-95.6426286
84,"LONE STAR SALOON",2016-02-01,15245,29.7507888,-95.3714548
87,"PAPPAS BAR-B-Q",2016-02-01,2313,29.7482711,-95.3685065
89,"LALA'S LOUNGE AND RESTAURANT",2016-02-01,32956,30.3446373,-97.7357645
90,"POLK SMITH REGENCY INC",2016-02-01,269890,29.7570609,-95.3694708
93,"STONELEIGH P",2016-02-01,65343,32.7980373,-96.8069527
98,"WESTWOOD COUNTRY CLUB OF AUSTI",2016-02-01,26243,30.313598,-97.773413
99,"300 HOUSTON",2016-02-01,78450,29.7801661,-95.5322621
101,"RED LOBSTER OF TEXAS INC #0095",2016-02-01,33836,30.343568,-97.706141
104,"MILO BUTTERFINGERS",2016-02-01,108314,32.9565646,-96.6912662
106,"RED LOBSTER OF TEXAS INC 841",2016-02-01,27346,29.8474635,-95.5013565
110,"COMMON INTEREST PIANO BAR",2016-02-01,79170,30.3663455,-97.72918
119,"ROBERT'S LAFITTE",2016-02-01,20362,29.2895739,-94.7911752
128,"SAN MIGUEL RESTAURANT",2016-02-01,119431,30.3255041,-97.7434654
131,"TEXAS MIST",2016-02-01,73116,30.2282228,-97.680834
134,"CORNER ENTERTAINMENT",2016-02-01,65850,29.7414717,-95.4214246
135,"HIGHLAND LANES",2016-02-01,41577,30.3718474,-97.7256536
140,"MATT'S EL RANCHO, INC.",2016-02-01,239593,30.2451478,-97.7792422
144,"BRAE-BURN COUNTRY CLUB",2016-02-01,37845,29.675866,-95.521176
