id,barId,date,paid,rev,id,taxId,name,address,city,state,zip,countyId,lat,lng
228,35,"2014-06-00 00:00:00",0,0,35,"D 796476","YELLOW ROSE DISTILLING LLC    ","1224 N POST OAK RD STE 100    ","HOUSTON             ",TX,77055,101,29.788519,-95.455744
328,46,"2014-06-00 00:00:00",0,0,46,"D 825843","BJ HOOKER'S DISTILLERIES, LLC ","1300 E RICHEY RD STE B        ","HOUSTON             ",TX,77073,101,29.994909,-95.386831
725,86,"2014-06-00 00:00:00",1229.24,18346.86567164179,86,MB067702,"COPPERFIELD BOWL              ","15615 GLEN CHASE DR           ","HOUSTON             ",TX,77095,101,29.8824654,-95.6426286
771,89,"2014-06-00 00:00:00",939.87,14027.910447761193,89,MB070012,"LONE STAR SALOON              ","1900 TRAVIS ST                ","HOUSTON             ",TX,77002,101,29.7507888,-95.3714548
817,92,"2014-06-00 00:00:00",206.36,3080,92,MB071681,"PAPPAS BAR-B-Q                ","1217 PIERCE ST                ","HOUSTON             ",TX,77002,101,29.7482711,-95.3685065
862,95,"2014-06-00 00:00:00",13396.85,199952.98507462686,95,MB073343,"POLK SMITH REGENCY INC        ","1200 LOUISIANA                ","HOUSTON             ",TX,77002,101,29.7570609,-95.3694708
998,105,"2014-06-00 00:00:00",3463.9,51700,105,MB078209,"BOWLMOR HOUSTON               ","925 BUNKER HILL RD            ","HOUSTON             ",TX,77024,101,29.7801661,-95.5322621
1013,106,"2014-06-00 00:00:00",0,0,106,MB078384,"AMF CLEAR LAKE BOWL           ","16743 DIANA LN                ","HOUSTON             ",TX,77062,101,29.557698,-95.11874
1103,112,"2014-06-00 00:00:00",1425.49,21275.97014925373,112,MB081307,"RED LOBSTER OF TEXAS INC 841  ","13232 NORTHWEST FWY           ","HOUSTON             ",TX,77040,101,29.8474635,-95.5013565
1147,115,"2014-06-00 00:00:00",2684.48,40066.86567164179,115,MB082293,"E J'S                         ","2517 RALPH ST                 ","HOUSTON             ",TX,77006,101,29.7432858,-95.4010554
1500,140,"2014-06-00 00:00:00",12838.8,191623.8805970149,140,MB093000,"CORNER ENTERTAINMENT          ","2736 VIRGINIA ST              ","HOUSTON             ",TX,77098,101,29.7414717,-95.4214246
1649,150,"2014-06-00 00:00:00",2755.3,41123.880597014926,150,MB096819,"BRAE-BURN COUNTRY CLUB        ","8101 BISSONNET ST             ","HOUSTON             ",TX,77074,101,29.675866,-95.521176
1797,160,"2014-06-00 00:00:00",764.13,11404.925373134327,160,MB099381,"SEGARI'S                      ","1503 SHEPHERD DR              ","HOUSTON             ",TX,77007,101,29.7743955,-95.4097956
1864,165,"2014-06-00 00:00:00",2214.75,33055.97014925373,165,MB100939,"BENIHANA OF TOKYO             ","1318 LOUISIANA ST             ","HOUSTON             ",TX,77002,101,29.7561725,-95.3697628
1960,172,"2014-06-00 00:00:00",1692.21,25256.86567164179,172,MB104013,"BRADY'S LANDING #21           ","8505 CYPRESS STREET           ","HOUSTON             ",TX,77012,101,29.7254202,-95.2754179
1975,173,"2014-06-00 00:00:00",3386.24,50540.895522388055,173,MB104526,"BENIHANA OF TOKYO             ","9707 WESTHEIMER RD            ","HOUSTON             ",TX,77042,101,29.7365359,-95.540203
